aip,entity,
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q4718721, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q761888, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q648403, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q15605, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q214796, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q241, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q319, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q14639, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q3863, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q14005, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q214796, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q111, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q111, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q214796, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q3439925, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q382494, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q214796, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q5293, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q6592, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q6592, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q21199, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q332, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q11573, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q12503, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q171594, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q737809, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q58778, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q104486, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q737809, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q58778, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q6014769, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q737809, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q58778, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q28510, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q79852, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q37221, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q128751, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q42848, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q121769, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q82753, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q37221, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q188889, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q194112, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q37221, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q336286, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q2091584, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q194112, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q18373, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q6203, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q3481047, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q128751, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q42848, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q121769, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q82753, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q3481047, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q188889, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q194112, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q3481047, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q336286, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q18373, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q6203, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q1208648, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q669262, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q128751, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q42848, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q121769, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q82753, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q37221, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q669262, 
urn:nasa:pds:ast_binary_parameters_compilation:data:binarytable_tab/2.0, http://www.wikidata.org/entity/Q188889, 
